promo_group_id,promo_name,promo_type,start_date,end_date,target_kit_id,target_kit_ids,platform_name,condition_qty,gift_qty,gift_kit_id
G_0577,ROSEMINE | 핸드크림,PRICE_ONLY,2025-11-19,2025-11-21,1041513919,{1041513919},GS이숍,1,0,
G_0578,CERACLINIC | 앰플밤,Q_BASED,2025-11-21,2025-11-24,1047273130,{1047273130},GS이숍,1,1,
G_0579,MIMI 바디 | 드레스미스트,Q_BASED,2025-11-25,2025-11-26,26615058,{26615058},GS이숍,1,1,
G_0580,CERACLINIC | 헤어팩 250ml,PRICE_ONLY,2025-11-17,2025-11-20,49065510,{49065510},홈앤쇼핑,1,0,
G_0581,ROERANCE | 바디미스트,Q_BASED,2025-11-19,2025-11-26,B619607455,{B619607455},옥션,1,1,
G_0582,BATHPA | 스크럽 바디워시 ,PRICE_ONLY,2025-11-21,2025-11-28,2397735259,{2397735259},G마켓,1,0,
G_0583,BATHPA | 바쓰쏠트 1200,Q_BASED,2025-11-21,2025-11-28,1402797709,{1402797709},G마켓,1,1,
G_0584,PEDISON 바디 | 여성 청결제 ,Q_BASED,2025-11-21,2025-11-28,483648529,{483648529},G마켓,1,1,
G_0585,ROSEMINE | 핸드크림,PRICE_ONLY,2025-12-01,2025-12-09,113751930,{113751930},카카오 톡스토어,1,0,
G_0586,CERACLINIC | 헤어팩 250ml,PRICE_ONLY,2025-12-01,2025-12-09,319371995,{319371995},카카오 톡스토어,1,0,
G_0587,CHARCHAR | 헤어세럼 200ml,PRICE_ONLY,2025-12-01,2025-12-09,97606574,{97606574},카카오 톡스토어,1,0,
G_0588,ROERANCE | 바디미스트 250ml,PRICE_ONLY,2025-12-08,2025-12-09,10578098,{10578098},공영홈쇼핑,1,0,
G_0589,BATHPA | 바디스크럽,Q_BASED,2025-12-08,2025-12-16,52680759,{52680759},카카오 톡스토어,1,1,
G_0590,CERACLINIC | 앰플밤,Q_BASED,2025-12-08,2025-12-16,329166316,{329166316},카카오 톡스토어,1,1,
G_0591,CHARCHAR | 라이스 폼클렌징,Q_BASED,2025-12-08,2025-12-16,586816358,{586816358},카카오 톡스토어,1,1,
G_0592,ROERANCE | 바디미스트 ,Q_BASED,2025-12-01,2025-12-02,42782041,{42782041},홈앤쇼핑,1,1,
G_0593,ROERANCE | 바디미스트,Q_BASED,2025-12-05,2025-12-08,42782041,{42782041},홈앤쇼핑,1,1,
G_0594,ROERANCE | 보습로션,Q_BASED,2025-12-24,2025-12-26,1100267588,{1100267588},GS이숍,1,1,
G_0595,ROERANCE | 바디미스트,PRICE_ONLY,2025-12-04,2025-12-11,832114998,{832114998},G마켓,1,0,
G_0596,PEDISON 바디 | 유산균 청결제,Q_BASED,2025-12-04,2025-12-11,3053567291,{3053567291},G마켓,1,1,
G_0597,CHARCHAR | 헤어세럼 200ml,PRICE_ONLY,2025-12-04,2025-12-11,1692731979,{1692731979},G마켓,1,0,
