사이트,시작일,종료일,구좌,브랜드,상품명,프로모션,사은품/주요 메세지,프로모션 출력,상품코드 1,상품코드 2,상품코드 3,상품코드 4,상품코드 5,상품코드 6,상품코드 7,상품코드 8,상품코드 9
G마켓,2024- 08-03,2024- 08-05,!슈퍼딜,MIMI 모먼트,핸드워시,MIMI 모먼트 | 핸드워시,2+1,MIMI 모먼트 | 핸드워시@2+1,1621412261,,,,,,,,
옥션,2024- 08-04,2024- 08-05,!올킬,PEDISON 바디,청결제,PEDISON 바디 | 청결제,2+1,PEDISON 바디 | 청결제@2+1,B377660277,,,,,,,,
G마켓,2024- 08-06,2024- 08-07,!생필원데이,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
G마켓,2024- 08-06,2024- 08-07,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,2397735259,,,,,,,,
옥션,2024- 08-06,2024- 08-07,!올킬,PEDISON 바디,데오드바디,PEDISON 바디 | 데오드바디,2+1,PEDISON 바디 | 데오드바디@2+1,B872317852,,,,,,,,
G마켓,2024- 08-10,2024- 08-12,!슈퍼딜,BATHPA,바스솔트,BATHPA | 바스솔트,,BATHPA | 바스솔트@,1402797709,,,,,,,,
G마켓,2024- 08-11,2024- 08-12,!슈퍼딜,CHARCHAR,헤어세럼,CHARCHAR | 헤어세럼,,CHARCHAR | 헤어세럼@,1692731979,,,,,,,,
옥션,2024- 08-05,2024- 08-06,!올킬,CHARCHAR,헤어세럼,CHARCHAR | 헤어세럼,,CHARCHAR | 헤어세럼@,B687962411,,,,,,,,
옥션,2024- 08-08,2024- 08-09,!올킬,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,B619607455,,,,,,,,
옥션,2024- 08-09,2024- 08-12,!올킬,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,C561340751,,,,,,,,
옥션,2024- 08-11,2024- 08-12,!올킬,CHARCHAR,헤어세럼,CHARCHAR | 헤어세럼,,CHARCHAR | 헤어세럼@,B687962411,,,,,,,,
옥션,2024- 08-11,2024- 08-12,!올킬,PEDISON 바디,데오드바디,PEDISON 바디 | 데오드바디,2+1,PEDISON 바디 | 데오드바디@2+1,B872317852,,,,,,,,
홈앤쇼핑,2024- 08-09,2024- 08-12,!숏라이브,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,37288192 001,37288192,37288192 003,37288192 004,37288192 005,37288192 006,37288192 030,37288192 008,37288192 050
G마켓,2024- 08-12,2024- 08-14,!슈퍼딜,MIMI 모먼트,핸드워시,MIMI 모먼트 | 핸드워시,1+1,MIMI 모먼트 | 핸드워시@1+1,1621412261,,,,,,,,
G마켓,2024- 08-14,2024- 08-16,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,2397735259,,,,,,,,
G마켓,2024- 08-17,2024- 08-19,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
G마켓,2024- 08-18,2024- 08-19,!슈퍼딜,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,483648529,,,,,,,,
옥션,2024- 08-17,2024- 08-19,!올킬,PEDISON 바디,데오드바디,PEDISON 바디 | 데오드바디,2+1,PEDISON 바디 | 데오드바디@2+1,B872317852,,,,,,,,
옥션,2024- 08-18,2024- 08-19,!올킬,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,B619607455,,,,,,,,
G마켓,2024- 08-13,2024- 08-14,!생필원데이,BORDO,풋팩,BORDO | 풋팩,x3,BORDO | 풋팩@x3,1501818790,,,,,,,,
옥션,2024- 08-20,2024- 08-21,!생필원데이,CHARCHAR,헤어세럼,CHARCHAR | 헤어세럼,,CHARCHAR | 헤어세럼@,B687962411,,,,,,,,
G마켓,2024- 08-20,2024- 08-21,!슈퍼딜,MIMI 모먼트,핸드워시,MIMI 모먼트 | 핸드워시,1+1,MIMI 모먼트 | 핸드워시@1+1,1621412261,,,,,,,,
옥션,2024- 08-24,2024- 08-26,!올킬,PEDISON 바디,데오드바디,PEDISON 바디 | 데오드바디,2+1,PEDISON 바디 | 데오드바디@2+1,B872317852,,,,,,,,
G마켓,2024- 08-23,2024- 08-26,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
G마켓,2024- 08-24,2024- 08-26,!슈퍼딜,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,483648529,,,,,,,,
옥션,2024- 08-22,2024- 08-23,!올킬,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,C561340751,,,,,,,,
홈앤쇼핑,2024- 08-14,2024- 08-16,!숏라이브,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,37288192 001,37288192,37288192 003,37288192 004,37288192 005,37288192 006,37288192 030,37288192 008,37288192 050
