사이트,시작일,종료일,구좌,브랜드,상품명,프로모션,사은품/주요 메세지,프로모션 출력,상품코드 1,상품코드 2,상품코드 3,상품코드 4,상품코드 5,상품코드 6,상품코드 7,상품코드 8,상품코드 9
옥션,2024- 11-26,2024- 11-27,!올킬,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,2+1,PEDISON 바디 | 여성청결제@2+1,B377660277,,,,,,,,
GS이숍,2024- 11-28,2024- 11-29,!타임특가,FRAIJOUR,약쑥토너,FRAIJOUR | 약쑥토너,1+1,FRAIJOUR | 약쑥토너@1+1,21606783003,,,,,,,,
GS이숍,2024- 11-28,2024- 11-29,!오늘특가,ROSEMINE,퍼퓸드핸드크림,ROSEMINE | 퍼퓸드핸드크림,x5,ROSEMINE | 퍼퓸드핸드크림@x5,17173479,,,,,,,,
G마켓,2024- 11-24,2024- 11-25,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,,BATHPA | 스크럽워시@,2397735259,,,,,,,,
옥션,2024- 11-23,2024- 11-25,!올킬,ROERANCE,바디미스트,ROERANCE | 바디미스트,2+1,ROERANCE | 바디미스트@2+1,B619607455,,,,,,,,
GS이숍,2024- 12-07,2024- 12-09,!만원의행복,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,18182254,18182254003,18182254005,18182254004,,,,,
G마켓,2024- 12-09,2024- 12-10,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,2+1,BATHPA | 스크럽워시@2+1,2397735259,,,,,,,,
G마켓,2024- 12-10,2024- 12-11,!슈퍼딜,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,2397735259,,,,,,,,
공영홈쇼핑,2024- 12-18,2024- 12-19,!극딜데이,PEDISON 헤어,헤어미스트,PEDISON 헤어 | 헤어미스트,1+1,PEDISON 헤어 | 헤어미스트@1+1,10081299,,,,,,,,
공영홈쇼핑,2024- 12-18,2024- 12-19,!극딜데이,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,11397378,,,,,,,,
G마켓,2024- 12-10,2024- 12-11,!슈퍼딜,CHARCHAR,헤어세럼,CHARCHAR | 헤어세럼,1+1,CHARCHAR | 헤어세럼@1+1,1692731979,,,,,,,,
G마켓,2024- 12-14,2024- 12-16,!슈퍼딜,ROSEMINE,키스바이핸드크림,ROSEMINE | 키스바이핸드크림,x4,ROSEMINE | 키스바이핸드크림@x4,1686132991,,,,,,,,
옥션,2024- 12-15,2024- 12-16,!올킬,CHARCHAR,헤어세럼,CHARCHAR | 헤어세럼,1+1,CHARCHAR | 헤어세럼@1+1,B687962411,,,,,,,,
카카오 톡스토어,2024- 12-26,2024- 12-30,!톡딜,CERACLINIC,헤어팩,CERACLINIC | 헤어팩,1+1,CERACLINIC | 헤어팩@1+1,319371995,,,,,,,,
G마켓,2024- 12-21,2024- 12-23,!슈퍼딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,2+1,BATHPA | 스크럽워시@2+1,2397735259,,,,,,,,
옥션,2024- 12-23,2024- 12-24,!올킬,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,B619607455,,,,,,,,
GS이숍,2025- 01-01,2025- 01-03,!타임특가,FRAIJOUR,약쑥토너,FRAIJOUR | 약쑥토너,1+1,FRAIJOUR | 약쑥토너@1+1,21606783003,,,,,,,,
GS이숍,2025- 01-12,2025- 01-14,!만원의행복,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,1+1,PEDISON 바디 | 여성청결제@1+1,18182254,,,,,,,,
GS이숍,2025- 01-12,2025- 01-14,!티꿀광고,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,1059355721001,,,,,,,,
홈앤쇼핑,2025- 01-18,2025- 01-20,!파트너딜,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,38745287,55826115,,,,,,,
공영홈쇼핑,2025- 01-28,2025- 02-05,!특가일주,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,10578098,,,,,,,,
카카오 톡스토어,2025- 02-08,2025- 02-11,!톡딜,FRAIJOUR,수분크림,FRAIJOUR | 수분크림,1+1,FRAIJOUR | 수분크림@1+1,99942240,,,,,,,,
카카오 톡스토어,2025- 02-11,2025- 02-14,!톡딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,1+1,BATHPA | 스크럽워시@1+1,392687145,,,,,,,,
홈앤쇼핑,2025- 01-21,2025- 01-22,!파트너딜,ROSEMINE,스팀소프트,ROSEMINE | 스팀소프트,5+1,ROSEMINE | 스팀소프트@5+1,38745287,55826115,,,,,,,
옥션,2025- 01-29,2025- 02-03,!올킬,CHARCHAR,헤어세럼,CHARCHAR | 헤어세럼,,CHARCHAR | 헤어세럼@,B687962411,,,,,,,,
GS이숍,2025- 01-31,2025- 02-05,!타임특가,CERACLINIC,프로테인퀀치 ,CERACLINIC | 프로테인퀀치 ,1+1,CERACLINIC | 프로테인퀀치 @1+1,99116306001,,,,,,,,
GS이숍,2025- 02-03,2025- 02-05,!타임특가,FRAIJOUR,약쑥 수분크림 ,FRAIJOUR | 약쑥 수분크림 ,1+1,FRAIJOUR | 약쑥 수분크림 @1+1,50703532001,,,,,,,,
G마켓,2025- 01-25,2025- 01-27,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
G마켓,2025- 02-02,2025- 02-03,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
카카오 톡스토어,2025- 02-23,2025- 02-28,!톡딜,BATHPA,스크럽워시,BATHPA | 스크럽워시,1+1,BATHPA | 스크럽워시@1+1,392687145,,,,,,,,
GS이숍,2025- 02-01,2025- 02-04,!만원의 행복,PEDISON 바디,데오드 바디클렌져 ,PEDISON 바디 | 데오드 바디클렌져 ,2+1,PEDISON 바디 | 데오드 바디클렌져 @2+1,21454065001,,,,,,,,
GS이숍,2025- 02-05,2025- 02-10,!뷰티특가왕행사,FRAIJOUR,약쑥 쑥토너,FRAIJOUR | 약쑥 쑥토너,1+1,FRAIJOUR | 약쑥 쑥토너@1+1,21606783003,,,,,,,,
GS이숍,2025- 02-10,2025- 02-11,!타임특가,CHARCHAR,녹두폼,CHARCHAR | 녹두폼,4,CHARCHAR | 녹두폼@4,1066344976001,,,,,,,,
G마켓,2025- 02-06,2025- 02-10,!슈퍼딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,,BATHPA | 바디스크럽@,2397735259,,,,,,,,
홈앤쇼핑,2025- 02-08,2025- 02-10,!파트너딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1,BATHPA | 바디스크럽@1+1,42782040,,,,,,,,
홈앤쇼핑,2025- 02-08,2025- 02-10,!파트너딜,ROERANCE,로에랑스바디,ROERANCE | 로에랑스바디,1+1+1,ROERANCE | 로에랑스바디@1+1+1,42782041,,,,,,,,
G마켓,2025- 02-13,2025- 02-17,!슈퍼딜,PEDISON 바디,여성청결제,PEDISON 바디 | 여성청결제,,PEDISON 바디 | 여성청결제@,483648529,,,,,,,,
카카오 톡스토어,2025- 03-05,2025- 03-11,!톡딜,ROSEMINE,로즈마인 핸드크림 *10,ROSEMINE | 로즈마인 핸드크림 *10,10,ROSEMINE | 로즈마인 핸드크림 *10@10,113751930,,,,,,,,
카카오 톡스토어,2025- 03-03,2025- 03-12,!톡딜  위크,BORDO,풋팩 1+1+1,BORDO | 풋팩 1+1+1,10,BORDO | 풋팩 1+1+1@10,99941659,,,,,,,,
카카오 톡스토어,2025- 03-03,2025- 03-12,!톡딜 위크,CERACLINIC,앰플밤 150ml,CERACLINIC | 앰플밤 150ml,10,CERACLINIC | 앰플밤 150ml@10,329166316,,,,,,,,
GS이숍,2025- 03-07,2025- 03-11,!타임특가,CHARCHAR,녹두폼,CHARCHAR | 녹두폼,4,CHARCHAR | 녹두폼@4,1066344976001,,,,,,,,
그립,2025- 03-05,2025- 03-10,라이브,,, | ,, | @,nxdw0zdo,,,,,,,,
GS이숍,2025- 03-17,2025- 03-20,!타임특가,FRAIJOUR,쑥수분크림,FRAIJOUR | 쑥수분크림,1+1,FRAIJOUR | 쑥수분크림@1+1,50703532001,,,,,,,,
GS이숍,2025- 03-18,2025- 03-20,!타임특가,PEDISON 바디,알로애&콜라겐,PEDISON 바디 | 알로애&콜라겐,1+1,PEDISON 바디 | 알로애&콜라겐@1+1,23629567,,,,,,,,
홈앤쇼핑,2025- 03-10,2025- 03-12,!빅적립데이,ROERANCE,로에랑스바디미스트,ROERANCE | 로에랑스바디미스트,1+1+1,ROERANCE | 로에랑스바디미스트@1+1+1,42782041,,,,,,,,
옥션,2025- 03-11,2025- 03-14,!올킬,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,B619607455,,,,,,,,
카카오 톡스토어,2025- 03-19,2025- 03-24,!톡딜,FRAIJOUR,프로크림,FRAIJOUR | 프로크림,1+1,FRAIJOUR | 프로크림@1+1,321649448,,,,,,,,
G마켓,2025- 03-16,2025- 03-18,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
옥션,2025- 03-24,2025- 03-26,!올킬,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,B619607455,,,,,,,,
GS이숍,2025- 03-27,2025- 03-31,!만원의 행복,CHARCHAR,헤어세럼,CHARCHAR | 헤어세럼,,CHARCHAR | 헤어세럼@,36527089001,,,,,,,,
홈앤쇼핑,2025- 03-30,2025- 04-01,!빅적립데이,ROERANCE,로에랑스바디미스트,ROERANCE | 로에랑스바디미스트,1+1+1,ROERANCE | 로에랑스바디미스트@1+1+1,42782041,,,,,,,,
그립,2025- 03-06,2025- 03-10,핫딜,MIMI 모먼트,딥퍼퓸,MIMI 모먼트 | 딥퍼퓸,1+1,MIMI 모먼트 | 딥퍼퓸@1+1,nxdw0zdo,,,,,,,,
그립,2025- 03-06,2025- 03-10,핫딜,MIMI 모먼트,핸드워시 ,MIMI 모먼트 | 핸드워시 ,1+1,MIMI 모먼트 | 핸드워시 @1+1,nxdw0zdo,,,,,,,,
GS이숍,2025- 04-09,2025- 04-11,!하루특가,CHARCHAR,녹두폼,CHARCHAR | 녹두폼,1+1+1+1,CHARCHAR | 녹두폼@1+1+1+1,1066344976001,,,,,,,,
GS이숍,2025- 04-15,2025- 04-16,!타임특가,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,36368525,,,,,,,,
GS이숍,2025- 04-14,2025- 04-17,체험팩,PEDISON 바디,알로애 청결제(거품&액상),PEDISON 바디 | 알로애 청결제(거품&액상),1+1,PEDISON 바디 | 알로애 청결제(거품&액상)@1+1,23629567,,,,,,,,
GS이숍,2025- 04-21,2025- 04-23,!!만원의 행복,PEDISON 바디,한방 청결제(거품&액상),PEDISON 바디 | 한방 청결제(거품&액상),1+1,PEDISON 바디 | 한방 청결제(거품&액상)@1+1,18182254,,,,,,,,
스마트스토어,2025- 04-11,2025- 04-28,!!원뿔템,CERACLINIC,루트토닉,CERACLINIC | 루트토닉,1+1,CERACLINIC | 루트토닉@1+1,11677359591,,,,,,,,
스마트스토어,2025- 04-18,2025- 04-30,!!원뿔템,FRAIJOUR,허니크림+토너,FRAIJOUR | 허니크림+토너,1+1,FRAIJOUR | 허니크림+토너@1+1,9652949332,,,,,,,,
옥션,2025- 04-20,2025- 04-26,!올킬,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,B619607455,,,,,,,,
G마켓,2025- 04-22,2025- 04-25,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
G마켓,2025- 04-24,2025- 04-30,!슈퍼딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,,BATHPA | 바디스크럽@,2397735259,,,,,,,,
GS이숍,2025- 04-25,2025- 04-28,!!오늘의 특가,FRAIJOUR,어성초수분크림,FRAIJOUR | 어성초수분크림,1+1,FRAIJOUR | 어성초수분크림@1+1,1002564011,,,,,,,,
G마켓,2025- 05-02,2025- 05-04,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1,ROERANCE | 바디미스트@1+1,832114998,,,,,,,,
스마트스토어,2025- 04-25,2025- 05-01,!!원뿔템,PEDISON 바디,페디슨 청결제,PEDISON 바디 | 페디슨 청결제,1+1,PEDISON 바디 | 페디슨 청결제@1+1,758297134,,,,,,,,
스마트스토어,2025- 04-18,2025- 04-30,!!원뿔템,CERACLINIC,헤어팩+퀀치,CERACLINIC | 헤어팩+퀀치,1+1,CERACLINIC | 헤어팩+퀀치@1+1,10529001110,,,,,,,,
GS이숍,2025- 05-09,2025- 05-13,!!만원의 행복,CHARCHAR,샤샤아르간헤어세럼,CHARCHAR | 샤샤아르간헤어세럼,,CHARCHAR | 샤샤아르간헤어세럼@,36527089,,,,,,,,
홈앤쇼핑,2025- 04-30,2025- 05-01,!빅적립데이,ROERANCE,로에랑스바디미스트,ROERANCE | 로에랑스바디미스트,1+1+1,ROERANCE | 로에랑스바디미스트@1+1+1,42782041,,,,,,,,
스마트스토어,2025- 05-01,2025- 05-15,!!원뿔템,FRAIJOUR,프로크림+토너,FRAIJOUR | 프로크림+토너,1+1,FRAIJOUR | 프로크림+토너@1+1,9653412627,,,,,,,,
스마트스토어,2025- 05-01,2025- 05-15,!!원뿔템,BORDO,풋스틱+풋팩,BORDO | 풋스틱+풋팩,1+1,BORDO | 풋스틱+풋팩@1+1,9686325137,,,,,,,,
GS이숍,2025- 05-01,2025- 05-02,!!타임특가,FRAIJOUR,쑥수분크림,FRAIJOUR | 쑥수분크림,1+1,FRAIJOUR | 쑥수분크림@1+1,50703532,,,,,,,,
스마트스토어,2025- 05-05,2025- 05-19,!!원뿔템,CERACLINIC,앰플샴푸+헤어팩,CERACLINIC | 앰플샴푸+헤어팩,1+1,CERACLINIC | 앰플샴푸+헤어팩@1+1,10735792482,,,,,,,,
스마트스토어,2025- 05-12,2025- 05-21,!!원뿔템,PEDISON 바디,락토 청결제,PEDISON 바디 | 락토 청결제,1+1,PEDISON 바디 | 락토 청결제@1+1,8912999917,,,,,,,,
GS이숍,2025- 05-11,2025- 05-13,!!띠꿀,FRAIJOUR,어성초크림,FRAIJOUR | 어성초크림,1+1,FRAIJOUR | 어성초크림@1+1,1002564011001,,,,,,,,
스마트스토어,2025- 05-22,2025- 06-05,!!원뿔템,ROERANCE,1+1 로에랑스,ROERANCE | 1+1 로에랑스,1+1,ROERANCE | 1+1 로에랑스@1+1,2508195294,,,,,,,,
스마트스토어,2025- 05-22,2025- 06-05,!!원뿔템,CERACLINIC,1+1 세라클리닉 헤어팩,CERACLINIC | 1+1 세라클리닉 헤어팩,1+1,CERACLINIC | 1+1 세라클리닉 헤어팩@1+1,10537633564,,,,,,,,
스마트스토어,2025- 05-22,2025- 06-05,!!원뿔템,PEDISON 바디,1+1 소다클렌져,PEDISON 바디 | 1+1 소다클렌져,1+1,PEDISON 바디 | 1+1 소다클렌져@1+1,5620994880,,,,,,,,
홈앤쇼핑,2025- 05-20,2025- 05-22,!파트너딜,CHARCHAR,헤어세럼3+에센스1,CHARCHAR | 헤어세럼3+에센스1,1+1+1,CHARCHAR | 헤어세럼3+에센스1@1+1+1,44541812,,,,,,,,
GS이숍,2025- 05-28,2025- 05-30,!!만원의 행복,PEDISON 바디,허니프로폴리스,PEDISON 바디 | 허니프로폴리스,1+1,PEDISON 바디 | 허니프로폴리스@1+1,23629565,,,,,,,,
GS이숍,2025- 06-04,2025- 06-05,!!MDPICK 하루특가,ROERANCE,로에랑스 바디미스트,ROERANCE | 로에랑스 바디미스트,1+1,ROERANCE | 로에랑스 바디미스트@1+1,36368525,,,,,,,,
GS이숍,2025- 06-06,2025- 06-11,! 타임특가,CHARCHAR,샤샤 녹두폼 ,CHARCHAR | 샤샤 녹두폼 ,1+1+1+1,CHARCHAR | 샤샤 녹두폼 @1+1+1+1,1066344976,,,,,,,,
홈앤쇼핑,2025- 06-10,2025- 06-16,!파트너딜,ROERANCE,로에랑스 바디미스트,ROERANCE | 로에랑스 바디미스트,1+1+1,ROERANCE | 로에랑스 바디미스트@1+1+1,42782041,,,,,,,,
스마트스토어,2025- 06-06,2025- 06-21,!!원뿔템,MIMI 모먼트,1+1 딥퍼퓸,MIMI 모먼트 | 1+1 딥퍼퓸,1+1,MIMI 모먼트 | 1+1 딥퍼퓸@1+1,334445895,,,,,,,,
스마트스토어,2025- 06-06,2025- 06-21,!!원뿔템,CERACLINIC,1+1 앰플밤,CERACLINIC | 1+1 앰플밤,1+1,CERACLINIC | 1+1 앰플밤@1+1,10537696033,,,,,,,,
스마트스토어,2025- 06-09,2025- 06-24,!!원뿔템,PEDISON 바디,1+1 한방샴푸&컨디셔너,PEDISON 바디 | 1+1 한방샴푸&컨디셔너,1+1,PEDISON 바디 | 1+1 한방샴푸&컨디셔너@1+1,2048288497,,,,,,,,
GS이숍,2025- 06-09,2025- 06-11,!티꿀,CERACLINIC,노워시 트리트먼트,CERACLINIC | 노워시 트리트먼트,1+1,CERACLINIC | 노워시 트리트먼트@1+1,99116306,,,,,,,,
GS이숍,2025- 06-09,2025- 06-12,!뷰티페스타,PEDISON 바디,한방청결제,PEDISON 바디 | 한방청결제,1+1,PEDISON 바디 | 한방청결제@1+1,18182254,,,,,,,,
GS이숍,2025- 06-11,2025- 06-13,!만원의 행복,CHARCHAR,쿨링 바디워시,CHARCHAR | 쿨링 바디워시,,CHARCHAR | 쿨링 바디워시@,1080359666,,,,,,,,
GS이숍,2025- 06-13,2025- 06-19,!웰컴썸머,BATHPA,바쓰솔트 1200G,BATHPA | 바쓰솔트 1200G,,BATHPA | 바쓰솔트 1200G@,36109919,,,,,,,,
홈앤쇼핑,2025- 06-14,2025- 06-19,!파트너딜,CERACLINIC,노워시 트리트먼트,CERACLINIC | 노워시 트리트먼트,1+1,CERACLINIC | 노워시 트리트먼트@1+1,39931077,,,,,,,,
G마켓,2025- 06-17,2025- 06-19,!슈퍼딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,2+1,ROERANCE | 바디미스트@2+1,832114998,,,,,,,,
카카오 톡스토어,2025- 06-18,2025- 06-23,!패션뷰티바캉스,CHARCHAR,쿨링바디워시,CHARCHAR | 쿨링바디워시,,CHARCHAR | 쿨링바디워시@,524961999,,,,,,,,
카카오 톡스토어,2025- 06-18,2025- 06-23,!패션뷰티바캉스,FRAIJOUR,프레쥬 쑥 수분크림,FRAIJOUR | 프레쥬 쑥 수분크림,1+1,FRAIJOUR | 프레쥬 쑥 수분크림@1+1,99942240,,,,,,,,
GS이숍,2025- 06-22,2025- 06-24,!컨틴전시(카톡연합),CHARCHAR,녹두폼,CHARCHAR | 녹두폼,1+1+1+1,CHARCHAR | 녹두폼@1+1+1+1,1066344976,,,,,,,,
GS이숍,2025- 06-19,2025- 06-23,!만원의 행복,PEDISON 바디,한방 청결제,PEDISON 바디 | 한방 청결제,1+1,PEDISON 바디 | 한방 청결제@1+1,18182254,,,,,,,,
GS이숍,2025- 06-23,2025- 06-26,!만원의 행복,CHARCHAR,샤샤 헤어세럼,CHARCHAR | 샤샤 헤어세럼,3+1,CHARCHAR | 샤샤 헤어세럼@3+1,36527089,,,,,,,,
스마트스토어,2025- 06-26,2025- 07-11,!!원뿔템,MIMI 모먼트,핸드워시,MIMI 모먼트 | 핸드워시,1+1+1,MIMI 모먼트 | 핸드워시@1+1+1,7889415087,,,,,,,,
스마트스토어,2025- 06-23,2025- 07-08,!!원뿔템,CERACLINIC,헤어팩+트리트먼트,CERACLINIC | 헤어팩+트리트먼트,1+1,CERACLINIC | 헤어팩+트리트먼트@1+1,10529001110,,,,,,,,
GS이숍,2025- 06-27,2025- 06-30,!타임특가,PEDISON 바디,한방 자무 ,PEDISON 바디 | 한방 자무 ,1+1+1,PEDISON 바디 | 한방 자무 @1+1+1,1031632648,,,,,,,,
G마켓,2025- 06-26,2025- 06-30,!슈퍼딜,BORDO,풋팩,BORDO | 풋팩,1+1+1,BORDO | 풋팩@1+1+1,1501818790,,,,,,,,
옥션,2025- 06-27,2025- 06-30,!올킬,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,B619607455,,,,,,,,
G마켓,2025- 06-24,2025- 06-26,!슈퍼딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,,BATHPA | 바디스크럽@,2397735259,,,,,,,,
홈앤쇼핑,2025- 06-28,2025- 06-30,!파트너딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1+1,BATHPA | 바디스크럽@1+1+1,42782040,,,,,,,,
GS이숍,2025- 07-03,2025- 07-06,!타임특가,CHARCHAR,쿨링샴푸,CHARCHAR | 쿨링샴푸,1+1,CHARCHAR | 쿨링샴푸@1+1,96461761,,,,,,,,
GS이숍,2025- 07-05,2025- 07-07,!만원의 행복,CERACLINIC,헤어팩 600ml,CERACLINIC | 헤어팩 600ml,,CERACLINIC | 헤어팩 600ml@,1081628034,,,,,,,,
GS이숍,2025- 07-06,2025- 07-08,!타임특가,FRAIJOUR,프레쥬 어성초 크림,FRAIJOUR | 프레쥬 어성초 크림,1+1,FRAIJOUR | 프레쥬 어성초 크림@1+1,1002564011,,,,,,,,
G마켓,2025- 06-30,2025- 07-06,!슈퍼딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,,BATHPA | 바디스크럽@,2397735259,,,,,,,,
GS이숍,2025- 07-06,2025- 07-09,!원데이특가,CERACLINIC,노워시 트리트먼트,CERACLINIC | 노워시 트리트먼트,1+1,CERACLINIC | 노워시 트리트먼트@1+1,99116306,,,,,,,,
홈앤쇼핑,2025- 07-03,2025- 07-07,!파트너딜,ROERANCE,바디미스트,ROERANCE | 바디미스트,1+1+1,ROERANCE | 바디미스트@1+1+1,42782041,,,,,,,,
GS이숍,2025- 07-06,2025- 07-08,!그레잇 썬데이(연합),ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,36368525,,,,,,,,
GS이숍,2025- 07-07,2025- 07-10,!체험특가(연합),CHARCHAR,아르간 헤어세럼,CHARCHAR | 아르간 헤어세럼,,CHARCHAR | 아르간 헤어세럼@,36527089,,,,,,,,
G마켓,2025- 07-03,2025- 07-10,!슈퍼딜,PEDISON 바디,여성 청결제,PEDISON 바디 | 여성 청결제,1+1,PEDISON 바디 | 여성 청결제@1+1,483648529,,,,,,,,
G마켓,2025- 07-03,2025- 07-06,!슈퍼딜,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,832114998,,,,,,,,
G마켓,2025- 07-03,2025- 07-10,!슈퍼딜,PEDISON 바디,데오드,PEDISON 바디 | 데오드,1+1,PEDISON 바디 | 데오드@1+1,1835943962,,,,,,,,
GS이숍,2025- 07-11,2025- 07-15,!타임특가,FRAIJOUR,프레쥬 어성초 토너,FRAIJOUR | 프레쥬 어성초 토너,1+1,FRAIJOUR | 프레쥬 어성초 토너@1+1,93409252,,,,,,,,
GS이숍,2025- 07-13,2025- 07-16,!만원의 행복,CERACLINIC,노워시 트리트먼트,CERACLINIC | 노워시 트리트먼트,,CERACLINIC | 노워시 트리트먼트@,99116306,,,,,,,,
G마켓,2025- 07-07,2025- 07-09,!슈퍼딜,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,832114998,,,,,,,,
옥션,2025- 07-09,2025- 07-09,!올킬,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,B619607455,,,,,,,,
옥션,2025- 07-13,2025- 07-14,!올킬,BORDO,풋팩,BORDO | 풋팩,,BORDO | 풋팩@,B307002308,,,,,,,,
G마켓,2025- 07-15,2025- 07-16,!슈퍼딜,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,832114998,,,,,,,,
스마트스토어,2025- 07-14,2025- 07-29,!!원뿔템,MIMI 퍼퓸,드레스퍼퓸,MIMI 퍼퓸 | 드레스퍼퓸,1+1,MIMI 퍼퓸 | 드레스퍼퓸@1+1,251838096,,,,,,,,
스마트스토어,2025- 07-14,2025- 07-29,!!원뿔템,CERACLINIC,앰플오일,CERACLINIC | 앰플오일,1+1,CERACLINIC | 앰플오일@1+1,10537698325,,,,,,,,
GS이숍,2025- 07-16,2025- 07-18,!만원의 행복,CHARCHAR,헤어세럼 ,CHARCHAR | 헤어세럼 ,,CHARCHAR | 헤어세럼 @,36527089,,,,,,,,
GS이숍,2025- 07-18,2025- 07-22,!만원의 행복,CERACLINIC,앰플밤,CERACLINIC | 앰플밤,1+1,CERACLINIC | 앰플밤@1+1,1047273130,,,,,,,,
GS이숍,2025- 07-18,2025- 07-21,!타임특가,CHARCHAR,녹두폼,CHARCHAR | 녹두폼,1+1+1+1,CHARCHAR | 녹두폼@1+1+1+1,1066344976,,,,,,,,
G마켓,2025- 07-15,2025- 07-22,!슈퍼딜(시스템),PEDISON 바디,페디슨,PEDISON 바디 | 페디슨,1+1,PEDISON 바디 | 페디슨@1+1,483648529,,,,,,,,
G마켓,2025- 07-15,2025- 07-22,!슈퍼딜(시스템),MIMI 모먼트,미미로린스,MIMI 모먼트 | 미미로린스,1+1,MIMI 모먼트 | 미미로린스@1+1,1621412261,,,,,,,,
GS이숍,2025- 07-20,2025- 07-22,!티꿀,FRAIJOUR,쑥토너,FRAIJOUR | 쑥토너,1+1,FRAIJOUR | 쑥토너@1+1,21606783,,,,,,,,
GS이숍,2025- 07-20,2025- 07-21,!원데이특가,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,36368525,,,,,,,,
G마켓,2025- 07-17,2025- 07-22,!슈퍼딜(시스템),OTHERS,까마 옴므,OTHERS | 까마 옴므,1+1,OTHERS | 까마 옴므@1+1,4197652497,,,,,,,,
G마켓,2025- 07-17,2025- 07-22,!슈퍼딜(시스템),BATHPA,바디스크럽,BATHPA | 바디스크럽,,BATHPA | 바디스크럽@,2397735259,,,,,,,,
G마켓,2025- 07-24,2025- 07-25,!크레이G,ROERANCE,로에랑스,ROERANCE | 로에랑스,1+1,ROERANCE | 로에랑스@1+1,832114998,,,,,,,,
GS이숍,2025- 07-28,2025- 07-30,!타임특가,PEDISON 헤어,헤어세럼,PEDISON 헤어 | 헤어세럼,1+1,PEDISON 헤어 | 헤어세럼@1+1,21283499,,,,,,,,
카카오 톡스토어,2025- 08-01,2025- 08-05,!톡딜(만원톡딜),CERACLINIC,헤어팩 600ml,CERACLINIC | 헤어팩 600ml,,CERACLINIC | 헤어팩 600ml@,531878226,,,,,,,,
홈앤쇼핑,2025- 07-28,2025- 07-30,!파트너딜,BATHPA,바디스크럽,BATHPA | 바디스크럽,1+1+1,BATHPA | 바디스크럽@1+1+1,42782040,,,,,,,,
GS이숍,2025- 07-31,2025- 08-04,!만원의 행복,PEDISON 바디,자무 청결제,PEDISON 바디 | 자무 청결제,1+1,PEDISON 바디 | 자무 청결제@1+1,17632078,,,,,,,,
GS이숍,2025- 08-02,2025- 08-04,!타임특가,MIMI 바디,핸드워시,MIMI 바디 | 핸드워시,1+1,MIMI 바디 | 핸드워시@1+1,37803138,,,,,,,,
